record_date,high_tem,low_tem,weather,power_consumption
2015/1/1,8,-4,晴,1135
2015/1/2,13,0,多云转晴,570
2015/1/3,16,3,多云,3418
2015/1/4,15,4,晴转阴,3968
2015/1/5,10,2,小雨转雨夹雪,3986
2015/1/6,7,-1,阴转多云,4082
2015/1/7,7,-2,晴,4172
2015/1/8,12,-1,晴,4022
2015/1/9,14,1,晴转多云,4025
2015/1/10,14,1,晴,4047
2015/1/11,10,1,多云,4135
2015/1/12,8,3,阴,4111
2015/1/13,8,4,小到中雨转多云,3926
2015/1/14,10,4,阴转多云,4244
2015/1/15,11,3,多云,4144
2015/1/16,7,-1,多云转晴,4269
2015/1/17,9,-1,多云,4262
2015/1/18,11,0,多云,2782
2015/1/19,10,2,多云转阴,3327
2015/1/20,11,4,多云,4002
2015/1/21,7,0,多云,3925
2015/1/22,11,-2,晴,3813
2015/1/23,15,2,多云转阴,4293
2015/1/24,11,7,阴转小雨,4205
2015/1/25,10,6,阴,4162
2015/1/26,6,2,阴,3917
2015/1/27,3,0,小雪,4007
2015/1/28,2,-1,大雪,4060
2015/1/29,3,-1,小雪转阴,4045
2015/1/30,4,-2,多云,4162
2015/1/31,5,-1,阴转雨夹雪,4056
2015/2/1,7,1,阴,3685
2015/2/2,7,2,阴转多云,3904
2015/2/3,7,2,阴转多云,4100
2015/2/4,7,-2,多云转晴,4048
2015/2/5,9,-2,晴转多云,3991
2015/2/6,12,-1,多云,4058
2015/2/7,6,0,多云转晴,3771
2015/2/8,6,-4,晴,3755
2015/2/9,15,0,晴,3742
2015/2/10,15,0,晴,3880
2015/2/11,15,0,晴,1838
2015/2/12,15,0,晴,2994
2015/2/13,19,3,晴转多云,3579
2015/2/14,15,10,阵雨,2771
2015/2/15,15,9,阴转多云,185
2015/2/16,14,3,多云转晴,97
2015/2/17,12,3,晴,75
2015/2/18,11,1,多云,63
2015/2/19,10,4,阴转小到中雨,52
2015/2/20,11,8,小雨转阴,48
2015/2/21,11,3,阴转多云,60
2015/2/22,10,4,小雨转阴,75
2015/2/23,12,4,阴,67
2015/2/24,10,6,小到中雨转小雨,103
2015/2/25,10,6,阴,99
2015/2/26,6,3,阴转小到中雨,378
2015/2/27,4,2,中雨,629
2015/2/28,9,1,阴转多云,672
2015/3/1,13,2,晴转多云,308
2015/3/2,12,6,小雨转多云,548
2015/3/3,6,1,多云,582
2015/3/4,5,1,阴转雨夹雪,520
2015/3/5,8,2,雨夹雪转阴,453
2015/3/6,12,3,多云,606
2015/3/7,10,5,阴转小雨,471
2015/3/8,9,4,阴转多云,132
2015/3/9,7,0,多云,624
2015/3/10,11,-1,多云,718
2015/3/11,16,2,晴,538
2015/3/12,19,6,晴转多云,624
2015/3/13,15,7,多云转小雨,559
2015/3/14,16,8,阴,621
2015/3/15,17,10,阴转多云,334
2015/3/16,16,11,阴转中雨,576
2015/3/17,14,12,大雨转小到中雨,522
2015/3/18,15,9,小雨转阴,576
2015/3/19,14,9,小雨,606
2015/3/20,20,9,阴转多云,664
2015/3/21,19,8,多云,609
2015/3/22,16,7,多云转阴,98
2015/3/23,15,6,多云,691
2015/3/24,17,7,多云,648
2015/3/25,15,6,多云转阴,599
2015/3/26,16,9,小雨转多云,592
2015/3/27,20,7,多云转晴,646
2015/3/28,23,10,多云,717
2015/3/29,20,14,阴转阵雨,315
2015/3/30,26,16,多云,587
2015/3/31,23,17,多云转阴,542
2015/4/1,25,14,阴转中雨,614
2015/4/2,19,11,阴,499
2015/4/3,14,10,雷阵雨,576
2015/4/4,13,10,小雨转小到中雨,504
2015/4/5,11,7,中雨,75
2015/4/6,7,4,小雨,569
2015/4/7,12,2,阴转多云,691
2015/4/8,15,3,多云,615
2015/4/9,17,6,晴转多云,536
2015/4/10,19,7,多云,366
2015/4/11,21,9,多云转雷阵雨,659
2015/4/12,13,7,多云转雷阵雨,583
2015/4/13,19,6,阴转晴,626
2015/4/14,23,10,晴,609
2015/4/15,21,13,阴转多云,629
2015/4/16,22,10,晴转多云,659
2015/4/17,26,15,阴,585
2015/4/18,24,16,阴转雷阵雨,481
2015/4/19,17,10,中雨转阵雨,99
2015/4/20,20,8,多云,626
2015/4/21,24,8,多云转晴,618
2015/4/22,26,12,多云,593
2015/4/23,27,13,多云,572
2015/4/24,27,13,多云转晴,590
2015/4/25,28,14,晴,575
2015/4/26,28,15,晴转多云,315
2015/4/27,29,18,阴转雷阵雨,453
2015/4/28,22,17,雷阵雨转多云,437
2015/4/29,25,14,多云,555
2015/4/30,27,14,晴转多云,475
2015/5/1,20,16,小到中雨转中到大雨,77
2015/5/2,25,15,阴转多云,79
2015/5/3,24,15,多云,520
2015/5/4,24,12,阴转多云,590
2015/5/5,23,15,阴,542
2015/5/6,27,16,多云,584
2015/5/7,27,17,多云,407
2015/5/8,26,15,多云,441
2015/5/9,26,15,多云,394
2015/5/10,26,15,多云,285
2015/5/11,26,15,多云,632
2015/5/12,26,15,多云,492
2015/5/13,29,20,晴~多云,407
2015/5/14,31,22,多云~中雨,574
2015/5/15,25,16,小到中雨~阴,544
2015/5/16,24,15,多云,518
2015/5/17,26,18,多云~雷雨,90
2015/5/18,25,17,小雨~多云,449
2015/5/19,29,19,多云,505
2015/5/20,27,15,多云,381
2015/5/21,25,15,晴~多云,455
2015/5/22,28,18,晴,362
2015/5/23,26,18,阴~,302
2015/5/24,27,19,多云,437
2015/5/25,29,19,晴~,462
2015/5/26,27,20,多云~,408
2015/5/27,22,17,阵雨,400
2015/5/28,27,20,阴,436
2015/5/29,23,20,中到大雨~中雨,304
2015/5/30,26,19,多云~晴,444
2015/5/31,27,19,多云,71
2015/6/1,31,23,多云~雷雨,467
2015/6/2,25,19,暴雨~小到中雨,448
2015/6/3,26,16,阴~晴,495
2015/6/4,26,19,多云,557
2015/6/5,28,19,晴,93
2015/6/6,32,21,多云,738
2015/6/7,27,21,雷雨~大雨,335
2015/6/8,27,20,阴,549
2015/6/9,29,22,阴,438
2015/6/10,28,21,阴~多云,549
2015/6/11,33,22,多云,563
2015/6/12,34,23,晴~多云,495
2015/6/13,33,25,多云,510
2015/6/14,32,23,多云~阴,155
2015/6/15,28,21,雷雨,597
2015/6/16,21,18,大雨~暴雨,484
2015/6/17,22,18,小雨~阴,474
2015/6/18,28,19,多云,423
2015/6/19,29,21,多云,565
2015/6/20,30,21,多云~阴,378
2015/6/21,26,21,阵雨,359
2015/6/22,26,21,阴,601
2015/6/23,25,23,阵雨~小雨,572
2015/6/24,26,22,小雨~小到中雨,472
2015/6/25,30,23,阴~中雨,642
2015/6/26,26,21,雷雨~大雨,497
2015/6/27,23,19,暴雨,375
2015/6/28,24,21,中到大雨~小雨,87
2015/6/29,24,21,大雨~雷雨,433
2015/6/30,27,21,中到大雨~小雨,445
2015/7/1,29,21,多云~晴,527
2015/7/2,32,23,多云,570
2015/7/3,30,21,多云,673
2015/7/4,28,19,阴,669
2015/7/5,28,19,阴,394
2015/7/6,22,18,小雨~中到大雨,546
2015/7/7,24,19,雷雨,462
2015/7/8,24,20,小到中雨~小雨,420
2015/7/9,27,22,阴,569
2015/7/10,31,24,阴~阵雨,686
2015/7/11,27,23,大雨~大到暴雨,541
2015/7/12,29,23,阴~多云,120
2015/7/13,35,25,多云,723
2015/7/14,35,25,晴~多云,706
2015/7/15,32,24,多云,824
2015/7/16,29,23,雷阵雨~小到中雨,673
2015/7/17,25,22,中雨,726
2015/7/18,27,23,雷阵雨,691
2015/7/19,26,24,大雨~小雨,498
2015/7/20,28,24,阴,571
2015/7/21,30,24,多云,695
2015/7/22,31,25,多云~阴,587
2015/7/23,31,25,雷阵雨,683
2015/7/24,28,24,中雨,704
2015/7/25,29,25,中雨~小雨,630
2015/7/26,32,26,雷阵雨~多云,137
2015/7/27,35,27,多云,657
2015/7/28,36,27,多云~晴,874
2015/7/29,37,28,多云,785
2015/7/30,35,27,晴~多云,794
2015/7/31,35,27,晴,775
2015/8/1,35,27,阴~多云,847
2015/8/2,37,28,晴,689
2015/8/3,37,28,晴,1060
2015/8/4,37,28,晴,1014
2015/8/5,37,28,多云,947
2015/8/6,35,26,多云,997
2015/8/7,34,26,多云,1014
2015/8/8,33,26,多云~雷阵雨,805
2015/8/9,30,25,雷阵雨~小到中雨,216
2015/8/10,28,24,暴雨~小到中雨,564
2015/8/11,28,23,阴~多云,524
2015/8/12,31,23,多云,757
2015/8/13,30,23,多云,804
2015/8/14,32,23,多云,785
2015/8/15,30,24,阴,761
2015/8/16,30,23,多云~晴,504
2015/8/17,31,24,多云,763
2015/8/18,30,23,多云,727
2015/8/19,30,24,阴~大雨,825
2015/8/20,26,23,阵雨~阴,700
2015/8/21,29,23,阴~多云,609
2015/8/22,28,21,阴,495
2015/8/23,28,21,阴,460
2015/8/24,24,20,小到中雨~多云,539
2015/8/25,29,21,多云,570
2015/8/26,30,22,多云,665
2015/8/27,30,22,阵雨~多云,783
2015/8/28,30,22,多云,144
2015/8/29,31,22,多云,766
2015/8/30,31,22,多云,458
2015/8/31,30,22,多云,756
2015/9/1,29,22,雷阵雨~多云,703
2015/9/2,30,22,多云,637
2015/9/3,29,22,多云,136
2015/9/4,30,23,阴~中雨,704
2015/9/5,28,22,阴~多云,627
2015/9/6,28,21,多云,727
2015/9/7,28,21,多云,531
2015/9/8,28,20,多云,472
2015/9/9,28,19,晴~多云,571
2015/9/10,28,20,晴~多云,783
2015/9/11,27,20,多云~阵雨,805
2015/9/12,24,16,阴~多云,681
2015/9/13,25,17,多云,649
2015/9/14,26,20,多云,613
2015/9/15,26,18,阴~多云,620
2015/9/16,27,18,多云~晴,586
2015/9/17,26,18,多云,493
2015/9/18,27,19,多云,692
2015/9/19,28,20,多云,619
2015/9/20,26,19,多云~晴,144
2015/9/21,27,20,多云,629
2015/9/22,26,21,阵雨~小雨,585
2015/9/23,26,19,多云,510
2015/9/24,26,20,多云~小雨,551
2015/9/25,27,19,阴~多云,662
2015/9/26,28,18,多云~晴,579
2015/9/27,27,18,晴,122
2015/9/28,27,20,多云~阵雨,582
2015/9/29,25,21,阵雨,499
2015/9/30,26,19,阵雨~中到大雨,515
2015/10/1,23,14,多云~晴,108
2015/10/2,24,15,晴,92
2015/10/3,25,17,多云,319
2015/10/4,25,19,多云~小雨,417
2015/10/5,23,18,阴~多云,362
2015/10/6,24,19,阴~阵雨,486
2015/10/7,22,18,阵雨,356
2015/10/8,19,15,阴~多云,422
2015/10/9,22,12,多云~晴,199
2015/10/10,23,10,晴~多云,97
2015/10/11,20,10,晴,101
2015/10/12,22,11,晴,366
2015/10/13,24,13,晴~多云,507
2015/10/14,24,13,多云,447
2015/10/15,25,14,晴,617
2015/10/16,26,15,晴,642
2015/10/17,26,14,晴,508
2015/10/18,25,14,晴~多云,440
2015/10/19,24,15,多云,544
2015/10/20,25,16,多云,533
2015/10/21,25,16,多云,640
2015/10/22,25,16,多云,530
2015/10/23,25,17,多云,616
2015/10/24,25,17,多云,372
2015/10/25,23,16,多云~阴,293
2015/10/26,24,14,小雨,583
2015/10/27,19,11,多云,630
2015/10/28,20,12,阴,646
2015/10/29,18,12,阴~多云,630
2015/10/30,18,10,多云,566
2015/10/31,17,11,多云~阵雨,646
2015/11/1,17,8,多云~晴,279
2015/11/2,18,8,晴,488
2015/11/3,20,11,多云,551
2015/11/4,21,14,阴,493
2015/11/5,23,16,阴~小雨,450
2015/11/6,26,19,阵雨,121
2015/11/7,17,12,阵雨~小雨,540
2015/11/8,13,9,阵雨~多云,258
2015/11/9,13,8,多云,525
2015/11/10,15,9,多云,469
2015/11/11,16,10,阴,531
2015/11/12,16,13,小雨,687
2015/11/13,16,12,阴,566
2015/11/14,17,10,多云,383
2015/11/15,18,11,阴~中雨,102
2015/11/16,17,13,阴~小雨,451
2015/11/17,15,12,小雨,614
2015/11/18,15,11,小雨~小到中雨,625
2015/11/19,14,11,小雨~阴,626
2015/11/20,16,11,阴,441
2015/11/21,16,13,阴~阵雨,437
2015/11/22,17,14,小雨,344
2015/11/23,16,10,小雨,599
2015/11/24,11,3,小雨~小到中雨,574
2015/11/25,5,0,多云~晴,691
2015/11/26,3,-4,晴,625
2015/11/27,5,-2,晴~多云,671
2015/11/28,12,3,多云~阴,597
2015/11/29,16,6,多云~晴,112
2015/11/30,15,5,多云,605
2015/12/1,17,10,多云~阴,438
2015/12/2,12,3,多云~晴,502
2015/12/3,10,0,晴,519
2015/12/4,9,2,晴~多云,469
2015/12/5,8,4,阵雨,476
2015/12/6,10,2,多云,361
2015/12/7,12,3,晴,332
2015/12/8,13,6,多云,361
2015/12/9,12,8,小雨,350
2015/12/10,12,7,阴~多云,401
2015/12/11,10,1,多云,389
2015/12/12,10,2,晴~多云,305
2015/12/13,9,3,多云~阴,106
2015/12/14,10,4,阴,432
2015/12/15,10,0,多云~晴,367
2015/12/16,6,-3,晴,429
2015/12/17,5,-3,晴,267
2015/12/18,6,-2,多云,356
2015/12/19,9,2,阴~小雨,343
2015/12/20,8,2,小雨~阴,335
2015/12/21,8,0,多云~阴,373
2015/12/22,11,6,阴,68
2015/12/23,10,7,阴~小雨,381
2015/12/24,10,4,小雨~阴,421
2015/12/25,10,2,多云~晴,349
2015/12/26,14,4,晴~多云,353
2015/12/27,9,1,阴~多云,239
2015/12/28,6,-1,多云,334
2015/12/29,9,0,多云,213
2015/12/30,11,0,晴,228
2015/12/31,9,-1,晴,113
2016/1/1,11,2,多云,60
2016/1/2,15,7,多云~阴,57
2016/1/3,16,7,多云~阴,102
2016/1/4,13,7,小雨~小到中雨,179
2016/1/5,10,5,小雨~阴,401
2016/1/6,8,3,阴~多云,359
2016/1/7,6,-1,阴~多云,271
2016/1/8,7,-1,晴~多云,364
2016/1/9,9,-1,多云~阴,384
2016/1/10,10,4,小雨,263
2016/1/11,8,1,雨夹雪,351
2016/1/12,3,-3,小雪~阴,286
2016/1/13,4,-2,多云,405
2016/1/14,7,-2,多云,406
2016/1/15,8,-2,晴,430
2016/1/16,10,1,多云~小雨,390
2016/1/17,8,0,小雨~多云,109
2016/1/18,3,-4,晴,377
2016/1/19,3,-4,多云,436
2016/1/20,3,-2,阴~中到大雪,437
2016/1/21,2,-2,雨夹雪~阴,416
2016/1/22,3,-4,小雪,420
2016/1/23,-3,-10,阴~多云,407
2016/1/24,-6,-10,晴,381
2016/1/25,2,-8,晴,429
2016/1/26,6,-4,多云~阴,444
2016/1/27,8,-1,多云~小雨,465
2016/1/28,6,3,小雨,450
2016/1/29,5,1,小雨~阴,376
2016/1/30,5,-1,阴~多云,178
2016/1/31,4,-2,雨夹雪~阴,340
2016/2/1,2,-5,多云,101
2016/2/2,5,-4,多云,104
2016/2/3,7,-3,晴~多云,81
2016/2/4,7,-2,多云,90
2016/2/5,9,-2,多云~阴,65
2016/2/6,7,-3,晴,64
2016/2/7,10,-2,多云~晴,42
2016/2/8,15,2,晴,34
2016/2/9,17,2,晴~多云,49
2016/2/10,20,7,多云~阴,45
2016/2/11,18,11,雷阵雨~阴,47
2016/2/12,18,11,阵雨~中雨,44
2016/2/13,14,1,小雨~阴,47
2016/2/14,6,-3,阴~多云,41
2016/2/15,7,-2,晴,65
2016/2/16,10,0,晴,326
2016/2/17,12,2,多云,322
2016/2/18,16,3,晴~多云,277
2016/2/19,13,3,阴,359
2016/2/20,11,-1,多云~晴,373
2016/2/21,10,2,阴~小到中雨,122
2016/2/22,7,4,小雨~阴,356
2016/2/23,11,1,阴~多云,382
2016/2/24,9,0,晴,363
2016/2/25,12,2,多云,388
2016/2/26,17,4,多云,411
2016/2/27,19,8,晴~多云,332
2016/2/28,17,2,阴~多云,329
2016/2/29,10,-1,晴,388
2016/3/1,13,1,晴~多云,301
2016/3/2,16,7,多云,313
2016/3/3,16,9,阵雨~阴,361
2016/3/4,19,12,阵雨~阴,328
2016/3/5,21,11,阴~多云,388
2016/3/6,19,10,多云,99
2016/3/7,16,6,多云~小雨,272
2016/3/8,9,1,中到大雨~小雨,304
2016/3/9,7,1,阴,302
2016/3/10,8,-1,多云~晴,307
2016/3/11,11,1,多云~晴,316
2016/3/12,13,4,小雨,371
2016/3/13,11,4,阴~多云,148
2016/3/14,13,3,多云,323
2016/3/15,14,4,多云,317
2016/3/16,18,6,多云~阴,321
2016/3/17,15,9,小雨,388
2016/3/18,18,11,阴,343
2016/3/19,19,7,多云,308
2016/3/20,17,6,多云,283
2016/3/21,17,6,多云,331
2016/3/22,16,9,多云~阴,293
2016/3/23,14,4,多云,334
2016/3/24,12,3,多云,363
2016/3/25,15,3,多云,310
2016/3/26,15,5,阴~多云,137
2016/3/27,18,7,晴,97
2016/3/28,20,9,多云,296
2016/3/29,20,13,多云,375
2016/3/30,21,12,阴~小雨,375
2016/3/31,20,10,多云~晴,350
2016/4/1,24,14,多云,353
2016/4/2,19,13,雷阵雨~中雨,315
2016/4/3,14,9,阵雨~阴,101
2016/4/4,18,10,多云,64
2016/4/5,16,11,阵雨~中雨,234
2016/4/6,14,12,中到大雨~中雨,267
2016/4/7,20,10,阴~多云,335
2016/4/8,23,13,多云,328
2016/4/9,25,13,多云,279
2016/4/10,26,11,多云,159
2016/4/11,21,12,多云~阴,393
2016/4/12,23,14,多云,35
2016/4/13,27,16,多云,321
2016/4/14,27,15,多云,194
2016/4/15,25,16,多云~小到中雨,375
2016/4/16,20,12,中到大雨~阴,382
2016/4/17,20,11,阴,387
2016/4/18,22,12,多云,354
2016/4/19,24,15,多云~雷阵雨,341
2016/4/20,18,14,大雨~小雨,31
2016/4/21,25,15,多云,363
2016/4/22,27,16,多云~雷阵雨,437
2016/4/23,18,13,小雨~阴,409
2016/4/24,21,13,阴~多云,118
2016/4/25,20,13,阴,328
2016/4/26,17,12,小雨~小到中雨,462
2016/4/27,17,11,阵雨~多云,331
2016/4/28,23,12,多云,368
2016/4/29,27,15,晴,364
2016/4/30,29,17,晴~多云,317
2016/5/1,30,20,多云~雷阵雨,123
2016/5/2,26,16,中到大雨~小雨,143
2016/5/3,25,14,晴,323
2016/5/4,30,20,多云~阴,295
2016/5/5,25,20,中雨~阴,326
2016/5/6,28,17,多云,271
2016/5/7,19,15,阴~小雨,240
2016/5/8,17,13,阵雨,236
2016/5/9,20,15,阵雨,425
2016/5/10,21,13,多云~晴,389
2016/5/11,27,16,晴,342
2016/5/12,30,16,多云,275
2016/5/13,20,15,阴~多云,396
2016/5/14,26,16,多云~阴,393
2016/5/15,18,13,中雨~多云,108
2016/5/16,25,13,晴,348
2016/5/17,26,14,多云,353
2016/5/18,25,14,多云,367
2016/5/19,27,17,多云,361
2016/5/20,24,17,阴~小到中雨,390
2016/5/21,19,16,中雨~小雨,228
2016/5/22,19,15,小雨~阴,90
2016/5/23,23,17,阴~小雨,243
2016/5/24,26,17,阴~多云,265
2016/5/25,29,21,多云~雷阵雨,162
2016/5/26,26,20,雷阵雨~小到中雨,357
2016/5/27,23,19,中雨~中到大雨,382
2016/5/28,21,19,阵雨,362
2016/5/29,24,17,阴~多云,88
2016/5/30,27,20,多云~小雨,299
2016/5/31,29,21,雷阵雨~大到暴雨,296
2016/6/1,21,16,小雨~阴,321
2016/6/2,22,18,多云~阵雨,393
2016/6/3,23,18,阵雨,366
2016/6/4,22,16,阴~多云,344
2016/6/5,26,18,多云,276
2016/6/6,27,19,雷阵雨~中雨,257
2016/6/7,26,21,雷阵雨,293
2016/6/8,24,19,阵雨~多云,288
2016/6/9,25,19,阴,89
2016/6/10,27,22,多云,291
2016/6/11,30,23,阴~雷阵雨,348
2016/6/12,26,20,雷阵雨~多云,256
2016/6/13,31,22,多云,213
2016/6/14,33,25,多云~阴,353
2016/6/15,30,22,雷阵雨~阴,389
2016/6/16,30,20,多云~晴,285
2016/6/17,32,23,晴~多云,411
2016/6/18,33,25,多云~雷阵雨,327
2016/6/19,32,25,雷阵雨~中雨,206
2016/6/20,29,25,雷阵雨,348
2016/6/21,29,24,小到中雨~小雨,329
2016/6/22,31,25,大到暴雨~阴,323
2016/6/23,33,27,雷阵雨~阴,480
2016/6/24,27,21,中雨~小雨,443
2016/6/25,27,20,阵雨~多云,326
2016/6/26,29,21,多云~小雨,349
2016/6/27,22,19,小到中雨~雷阵雨,404
2016/6/28,25,21,小到中雨~大雨,364
2016/6/29,28,22,阴~多云,434
2016/6/30,33,25,多云~雷阵雨,317
2016/7/1,26,23,大到暴雨,262
2016/7/2,26,22,中到大雨~暴雨,253
2016/7/3,25,22,暴雨~大雨,125
2016/7/4,27,22,中雨~大雨,276
2016/7/5,28,23,雷阵雨,377
2016/7/6,28,25,中雨~小雨,460
2016/7/7,30,24,雷阵雨~多云,492
2016/7/8,32,24,阴~多云,324
2016/7/9,31,24,多云~阴,299
2016/7/10,28,24,雷阵雨~中雨,200
2016/7/11,29,24,阵雨~阴,333
2016/7/12,32,26,多云~阴,340
2016/7/13,32,26,中雨~雷阵雨,399
2016/7/14,29,26,中雨转雷阵雨,443
2016/7/15,33,22,中到大雨转小雨,531
2016/7/16,29,22,多云,504
2016/7/17,32,24,多云转雷阵雨,461
2016/7/18,32,26,阴,536
2016/7/19,32,26,雷阵雨,493
2016/7/20,36,28,晴,562
2016/7/21,37,29,多云,503
2016/7/22,37,29,晴,423
2016/7/23,38,30,晴,516
2016/7/24,38,30,晴,316
2016/7/25,38,29,晴,554
2016/7/26,39,30,晴,500
2016/7/27,38,30,多云,543
2016/7/28,38,29,晴,491
2016/7/29,38,30,晴,537
2016/7/30,37,28,晴,509
2016/7/31,36,27,多云,459
2016/8/1,35,27,晴,467
2016/8/2,35,27,雷阵雨,551
2016/8/3,32,25,雷阵雨,489
2016/8/4,33,26,雷阵雨,519
2016/8/5,33,26,雷阵雨,614
2016/8/6,33,26,雷阵雨,576
2016/8/7,34,26,多云,510
2016/8/8,35,26,雷阵雨,498
2016/8/9,34,27,多云,542
2016/8/10,33,27,阵雨,517
2016/8/11,35,27,多云,473
2016/8/12,35,27,多云,548
2016/8/13,36,28,多云,448
2016/8/14,35,27,晴,305
2016/8/15,35,27,晴,574
2016/8/16,34,26,多云,620
2016/8/17,34,26,多云,155
2016/8/18,35,28,晴,583
2016/8/19,36,28,晴,615
2016/8/20,36,27,雷阵雨,451
2016/8/21,31,26,雷阵雨,210
2016/8/22,34,27,多云,351
2016/8/23,34,24,多云,443
2016/8/24,33,23,晴,529
2016/8/25,34,25,多云,584
2016/8/26,28,23,阵雨,500
2016/8/27,29,20,多云,451
2016/8/28,30,19,晴,139
2016/8/29,30,21,晴,393
2016/8/30,30,21,晴,527
2016/8/31,31,22,多云,440
